,X,RespondentId,Enroll,Employ,Working,Hrs,Age,Ethnicity,Income,Classification,College,Commute,Alone,Dependents,HoH,Live,FedAid,PA,FreqNightElse,UTEPHomeless,Year,HH3,HH4,AD1,AD1a,AD2,AD3,index,Gender,USDAcat,YR_2019,YR_2020,YR_2021,YR_2022,Ethn_Hisp,Ethn_AIAN,Ethn_Asian,Ethn_Black,Ethn_NHPI,Ethn_White,Ethn_Other,Coll_BSN,Coll_EDU,Coll_ENGN,Coll_HS,Coll_LART,Coll_SCI,Coll_NRS,Coll_PHR,Coll_Other,Coll_NA,Gend_F,Gend_M,Gend_T,Gend_NC,Gend_Other,Gend_PNA,Gendercats
3,3,83001882,Part-time,Full-time,On campus,19 hours or less,3,4,"Less than $10,000",Senior,5,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Loans,Yes,NA,Yes,2019,0,1,0,NA,1,1,3,NA,Low FS,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA
4,4,83001883,Full-time,Full-time,On campus,19 hours or less,2,4,"$40,000 to $49,999",Senior,1,Car (someone drives to campus and picks you up),Yes,NA,Yes,Off campus with partner,Work-study,No,Often,Yes,2019,1,0,1,0,1,1,4,NA,Low FS,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
5,5,83001889,Full-time,Full-time,On campus,More than 19 hours,3,1,"Less than $10,000",Doctoral,3,Car (someone drives to campus and picks you up),Yes,NA,Yes,Off campus with partner,Grants,Yes,NA,NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
8,8,83001892,Part-time,Part-time,NA,NA,2,1,"Less than $10,000",Junior,7,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Loans,Yes,NA,Yes,2019,1,1,0,NA,0,0,2,NA,Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,NA
9,9,83001893,Part-time,Part-time,NA,NA,2,1,"Less than $10,000",Sophomore,4,"Not applicable (live on-campus, don’t commute)",No,None,No,Off campus with parents,Loans,Yes,NA,No,2019,1,0,0,NA,0,0,1,NA,Marginal/High FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,NA
11,11,83001897,Full-time,Full-time,On campus,19 hours or less,3,1,"$20,000 to $29,999",Graduate (Masters),3,Trolley,No,1,Yes,Off campus with parents,Grants,Yes,NA,No,2019,0,0,0,NA,0,0,0,NA,Marginal/High FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
15,15,83001903,Full-time,Part-time,NA,NA,2,1,"$20,000 to $29,999",Sophomore,7,Car (someone drives to campus and picks you up),No,3,No,Off campus with parents,Scholarship,Yes,NA,Yes,2019,1,1,1,1,1,1,6,NA,Very Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,NA
16,16,83001905,Full-time,Part-time,NA,NA,2,1,"$30,000 to $39,999",Junior,6,Bus/Public transportation,No,None,No,Off campus with parents,Work-study,Yes,NA,No,2019,0,0,0,NA,0,0,0,NA,Marginal/High FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,NA
18,18,83001908,Full-time,Full-time,On campus,19 hours or less,4,1,"$40,000 to $49,999",Graduate (Masters),5,Trolley,No,2,Yes,Off campus with parents,Work-study,Yes,NA,Yes,2019,1,1,1,0,1,1,5,NA,Very Low FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,NA
22,22,83001915,Full-time,Full-time,On campus,19 hours or less,2,1,"$30,000 to $39,999",Senior,3,Car (someone drives to campus and picks you up),No,None,No,Off campus with parents,Scholarship,Yes,NA,No,2019,0,1,0,NA,0,0,1,NA,Marginal/High FS,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,NA
